237	489	737	985	1233	1482	1730	1979	2227	2475	2723	2972	3220	3468	3717	3965	4213	4461	4710	4958
334	586	834	1083	1331	1579	1828	2076	2325	2573	2822	3070	3318	3567	3815	4063	4312	4560	4808	5057
350	602	850	1099	1347	1595	1844	2092	2340	2589	2837	3085	3334	3582	3830	4079	4327	4575	4823	5072
480	729	977	1225	1474	1722	1971	2219	2467	2716	2964	3213	3461	3709	3957	4206	4454	4702	4951	5199
329	578	826	1074	1323	1571	1820	2068	2316	2565	2813	3061	3310	3558	3806	4055	4303	4551	4799	5048
233	358	483	607	731	855	979	1103	1228	1352	1476	1600	1724	1848	1972	2097	2221	2345	2469	2593
306	558	806	1054	1303	1551	1799	2048	2296	2545	2793	3041	3290	3538	3787	4035	4283	4532	4780	5028
460	710	958	1206	1455	1703	1952	2200	2449	2697	2945	3193	3442	3690	3938	4187	4435	4683	4932	5180
300	549	798	1046	1294	1542	1791	2039	2287	2536	2784	3033	3281	3529	3777	4026	4274	4522	4770	5019
303	552	800	1049	1297	1546	1794	2042	2291	2539	2787	3035	3284	3532	3781	4029	4277	4526	4774	5022
349	598	846	1095	1343	1591	1839	2088	2336	2585	2833	3082	3330	3578	3827	4075	4323	4571	4820	5068
344	597	845	1093	1342	1590	1838	2087	2335	2584	2832	3080	3329	3577	3825	4074	4322	4570	4819	5067
328	581	829	1078	1326	1574	1823	2071	2320	2568	2816	3065	3313	3561	3810	4058	4306	4554	4803	5051
294	547	796	1044	1293	1541	1789	2038	2286	2534	2783	3031	3279	3528	3776	4024	4273	4521	4769	5018
318	569	818	1066	1314	1563	1811	2060	2308	2556	2805	3053	3301	3549	3798	4046	4295	4543	4791	5039
379	630	879	1127	1375	1624	1872	2120	2369	2617	2865	3114	3362	3610	3859	4107	4355	4604	4852	5100
251	502	750	999	1247	1495	1744	1992	2241	2489	2738	2986	3234	3483	3731	3979	4228	4476	4724	4973
268	519	767	1015	1264	1512	1760	2009	2257	2506	2754	3003	3251	3499	3748	3996	4245	4493	4741	4989
358	609	857	1105	1354	1602	1851	2099	2347	2596	2844	3093	3341	3589	3837	4086	4334	4582	4831	5079
308	559	807	1055	1304	1552	1800	2049	2297	2546	2794	3042	3291	3539	3787	4036	4284	4532	4781	5029
409	661	909	1157	1406	1654	1902	2151	2399	2647	2896	3144	3392	3640	3889	4137	4385	4634	4882	5130
366	615	864	1112	1360	1609	1857	2105	2354	2602	2850	3098	3347	3595	3843	4092	4340	4588	4837	5085
527	781	1029	1277	1526	1774	2022	2271	2519	2767	3016	3264	3512	3761	4009	4257	4506	4754	5002	5250
300	552	800	1048	1297	1545	1793	2042	2290	2538	2787	3035	3283	3532	3780	4028	4277	4525	4773	5022
312	564	813	1061	1309	1557	1806	2054	2303	2551	2799	3048	3296	3544	3792	4041	4289	4537	4786	5034
424	675	924	1172	1421	1669	1917	2166	2414	2663	2911	3159	3408	3656	3904	4152	4401	4649	4897	5146
