582	831	1576	2072	2817	3065	3562	3810	4555	4804
680	928	1673	2170	2915	3164	3660	3909	4654	4902
696	944	1689	2186	2931	3179	3676	3924	4669	4917
574	822	1568	2064	2810	3058	3555	3803	4548	4796
672	920	1665	2162	2907	3155	3652	3900	4645	4893
405	530	902	1150	1523	1647	1895	2019	2392	2516
652	900	1645	2142	2887	3135	3632	3880	4625	4874
804	1052	1797	2294	3039	3287	3784	4032	4777	5026
643	891	1636	2133	2878	3126	3623	3871	4616	4864
646	894	1639	2136	2881	3129	3626	3874	4619	4868
692	940	1685	2182	2927	3175	3672	3920	4665	4914
690	939	1684	2181	2926	3174	3671	3919	4664	4913
675	923	1668	2165	2910	3159	3655	3903	4648	4897
641	890	1635	2131	2876	3125	3622	3870	4615	4863
663	912	1656	2153	2898	3147	3643	3692	4637	4885
724	972	1717	2214	2959	3208	3704	3952	4697	4946
596	844	1589	2086	2831	3080	3576	3825	4570	4818
612	861	1606	2103	2848	3096	3593	3842	4587	4835
703	951	1696	2193	2938	3186	3683	3931	4676	4925
652	901	1646	2143	2888	3136	3633	3881	4626	4875
754	1003	1748	2244	2989	3238	3734	3983	4727	4976
709	957	1702	2199	2944	3192	3689	3937	4682	4931
874	1123	1868	2364	3110	3358	3854	4103	4848	5096
645	894	1639	2136	2880	3129	3626	3874	4619	4867
658	906	1651	2148	2893	3141	3638	3886	4631	4879
769	1018	1763	2260	3005	3253	3750	3998	4743	4991
