159,407,655,903,1152,1400,1649,1897,2145,2393,2642,2890,3138,3387,3635,3883,4131,4380,4628
155,403,652,900,1148,1397,1645,1894,2142,2391,2639,2887,3136,3384,3632,3881,4129,4377,4626
158,406,655,903,1151,1400,1648,1896,2145,2393,2641,2890,3138,3386,3635,3883,4131,4379,4628
158,406,655,903,1151,1400,1648,1896,2145,2393,2641,2890,3138,3386,3635,3883,4131,4379,4628
156,404,652,901,1149,1398,1646,1894,2143,2391,2639,2888,3136,3384,3633,3881,4129,4377,4626
78,203,327,451,575,699,823,948,1072,1196,1320,1444,1568,1692,1817,1941,2065,2189,2313
158,406,654,903,1151,1399,1648,1896,2145,2393,2641,2890,3138,3387,3635,3883,4132,4380,4628
156,404,652,901,1149,1398,1646,1895,2143,2391,2639,2888,3136,3384,3633,3881,4129,4378,4626
155,404,652,900,1148,1397,1645,1893,2142,2390,2639,2887,3135,3383,3632,3880,4128,4376,4625
155,403,652,900,1149,1397,1645,1894,2142,2390,2638,2887,3135,3384,3632,3880,4129,4377,4625
155,403,652,900,1148,1396,1645,1893,2142,2390,2639,2887,3135,3384,3632,3880,4128,4377,4625
159,407,655,904,1152,1400,1649,1897,2146,2394,2642,2891,3139,3387,3636,3884,4132,4381,4629
159,407,656,904,1152,1401,1649,1898,2146,2394,2643,2891,3139,3388,3636,3884,4132,4381,4629
155,404,652,901,1149,1397,1646,1894,2142,2391,2639,2887,3136,3384,3632,3881,4129,4377,4626
157,406,654,902,1151,1399,1648,1896,2144,2393,2641,2889,3137,3386,3634,3883,4131,4379,4627
157,406,654,902,1151,1399,1647,1896,2144,2392,2641,2889,3137,3386,3634,3882,4131,4379,4627
155,403,652,900,1148,1397,1645,1894,2142,2391,2639,2887,3136,3384,3632,3881,4129,4377,4626
156,404,652,901,1149,1397,1646,1894,2143,2391,2640,2888,3136,3385,3633,3882,4130,4378,4626
156,404,652,901,1149,1398,1646,1894,2143,2391,2640,2888,3136,3384,3633,3881,4129,4378,4626
156,404,652,901,1149,1397,1646,1894,2143,2391,2639,2888,3136,3384,3633,3881,4129,4378,4626
158,406,654,903,1151,1399,1648,1896,2144,2393,2641,2889,3137,3386,3634,3882,4131,4379,4627
155,404,652,900,1149,1397,1645,1894,2142,2390,2638,2887,3135,3383,3632,3880,4128,4377,4625
160,408,656,905,1153,1401,1650,1898,2146,2395,2643,2891,3140,3388,3636,3885,4133,4381,4629
158,406,654,903,1151,1399,1648,1896,2144,2393,2641,2889,3138,3386,3634,3883,4131,4379,4628
155,404,652,900,1148,1397,1645,1894,2142,2390,2639,2887,3135,3383,3632,3880,4128,4377,4625
157,406,654,903,1151,1399,1648,1896,2145,2393,2641,2890,3138,3386,3634,3883,4131,4379,4628
