252,501,1246,1742,2487,2735,3232,3480,4225,4474
249,497,1242,1739,2484,2733,3229,3478,4223,4471
252,500,1245,1742,2487,2735,3232,3480,4225,4473
249,497,1243,1739,2485,2733,3230,3478,4223,4471
250,498,1243,1740,2485,2733,3230,3478,4223,4471
125,250,622,870,1243,1367,1615,1739,2112,2236
252,500,1245,1742,2487,2735,3232,3480,4225,4474
250,498,1243,1740,2485,2733,3230,3478,4223,4472
249,497,1242,1739,2484,2732,3229,3477,4222,4470
249,497,1242,1739,2484,2732,3229,3477,4222,4471
249,497,1242,1739,2484,2732,3229,3477,4222,4471
252,501,1246,1743,2488,2736,3233,3481,4226,4475
253,501,1246,1743,2488,2737,3233,3481,4226,4475
249,498,1243,1739,2484,2733,3230,3478,4223,4471
251,500,1244,1741,2486,2735,3231,3280,4225,4473
251,499,1244,1741,2486,2735,3231,3479,4224,4473
249,497,1242,1739,2484,2733,3229,3478,4223,4471
249,498,1243,1740,2485,2733,3230,3479,4224,4472
250,498,1243,1740,2485,2733,3230,3478,4223,4472
249,498,1243,1740,2485,2733,3230,3478,4223,4472
251,500,1245,1741,2486,2735,3231,3480,4224,4473
249,497,1242,1739,2484,2732,3229,3477,4222,4471
253,502,1247,1743,2489,2737,3233,3482,4227,4475
251,500,1245,1742,2486,2735,3232,3480,4225,4473
249,497,1242,1739,2484,2732,3229,3477,4222,4470
251,500,1245,1742,2487,2735,3232,3480,4225,4473
