330	1079	1327	1824	2321	2569	3314	4059	4307	5052
431	1177	1425	1922	2418	2667	3412	4157	4406	5151
444	1192	1441	1938	2434	2683	3428	4172	4421	5166
325	1071	1319	1816	2313	2561	3306	4051	4299	5045
422	1168	1417	1914	2410	2659	3404	4149	4397	5142
280	654	778	1026	1275	1399	1771	2143	2268	2640
400	1148	1397	1893	2390	2639	3384	4129	4377	5122
554	1300	1549	2045	2542	2791	3536	4281	4529	5274
394	1140	1388	1884	2381	2630	3375	4119	4368	5113
397	1143	1391	1888	2385	2633	3378	4123	4371	5116
443	1188	1437	1933	2430	2679	3424	4169	4417	5162
438	1187	1435	1932	2429	2677	3422	4168	4416	5161
422	1172	1420	1917	2413	2662	3407	4152	4400	5145
392	1138	1386	1883	2380	2628	3373	4118	4366	5112
412	1160	1408	1905	2402	2650	3395	4140	4388	5133
473	1221	1469	1966	2463	2711	3456	4201	4449	5194
347	1093	1341	1838	2335	2583	3328	4073	4321	5067
363	1109	1357	1854	2351	2600	3345	4090	4338	5083
453	1199	1448	1944	2441	2690	3435	4180	4428	5173
403	1149	1397	1894	2391	2639	3385	4130	4378	5123
503	1251	1499	1996	2493	2741	3486	4231	4479	5224
460	1206	1454	1951	2447	2696	3441	4186	4434	5179
621	1371	1619	2116	2613	2861	3606	4351	4599	5344
394	1142	1390	1887	2384	2632	3377	4122	4371	5116
409	1155	1403	1900	2396	2645	3390	4135	4383	5128
518	1266	1514	2011	2508	2756	3501	4246	4494	5239
